image_id,age,gender,ethnicity
gmhhvnzzrh,10,0,0
stimmkgqlo,10,0,0
hirikdgcjv,10,0,0
vajubksdfg,10,0,0
doenoublom,10,0,0
vugkqnrdfq,10,0,0
tbnibilhsv,10,0,0
ttgujwcogw,10,0,0
bqwxakfoag,10,0,0
vvuzvnhzjw,10,0,0
pznglcobfv,10,0,0
axvsjcmoce,10,0,0
nzaidcislf,10,0,0
iuqozkfqqo,10,0,0
zkfnnzcswp,10,0,1
rdezeshcig,10,0,1
tefpyksdil,10,0,1
cmfnojzswk,10,0,1
mjsvwnizmb,10,0,1
gmyvhmwgao,10,0,1
xixgzdoafy,10,0,1
fzalwiugac,10,0,1
efpfhfvskr,10,0,2
ivvcbhsdlc,10,0,2
fpjftkhtyq,10,0,3
urrrujxidu,10,0,3
vefihwdctt,10,0,3
tkqprorhfd,10,0,3
jfspstbpnr,10,0,4
myjzadbyzn,10,0,4
dlskktybmi,10,0,4
uwbmsgwdjw,10,0,4
rsuvcjllzo,10,0,4
kbentsdlqy,10,0,4
hobadbssbd,10,0,4
ijnyptcrry,10,0,4
ancuuckiyr,10,0,4
nejnnmapwy,10,0,4
tecudmgbne,10,1,0
axtmcvetzx,10,1,0
htsmzakqwz,10,1,0
zukzurjcsz,10,1,0
wdxdremvll,10,1,0
dtlpiadsvk,10,1,0
klkswfnkmo,10,1,0
fowtsqnykk,10,1,0
birlnfjdyy,10,1,0
ynafdybkih,10,1,0
hhovbditnx,10,1,0
xjetrqbrqi,10,1,0
wnrqvpdpzr,10,1,0
vyhdgvrtru,10,1,0
dvissyszbr,10,1,0
lzycibgiih,10,1,0
swraiorptr,10,1,0
wtiqpgbzmt,10,1,0
sbknfvdhop,10,1,0
gafujobqdi,10,1,0
fcunxwiabi,10,1,0
cwgeqnrkrt,10,1,0
lpsmudkovt,10,1,0
vtmmteqfwx,10,1,0
jzophddfwi,10,1,0
ausrnrtule,10,1,0
iexvsjbylb,10,1,0
tjqjpolzih,10,1,0
ovvltwoxoc,10,1,0
swyeavbgpn,10,1,0
yxcailfsss,10,1,0
smvyxvdzrx,10,1,0
hiexerbhsn,10,1,0
jyhddrqeto,10,1,0
cuoxhoqsxf,10,1,0
aqqrmbfqft,10,1,0
pjymyukpdj,10,1,0
ppflnyibax,10,1,0
eahtpweuqe,10,1,0
muabnscrub,10,1,1
prupjxzzca,10,1,1
maegibvsmu,10,1,1
wjxhognlyo,10,1,1
fgbvizsdcf,10,1,1
kgwfvhxtcb,10,1,1
nhlbnjwohz,10,1,1
rfujtelzbq,10,1,1
ckusspjtuf,10,1,2
nuqlnurrdx,10,1,2
fzjaydxznq,10,1,2
kfvuyzytev,10,1,2
obrytltrwf,10,1,2
jpbgcxfgjq,10,1,3
qfwomjaiaq,10,1,3
dcuxtuuhjg,10,1,3
sadmgxbwuh,10,1,3
edoqudhjos,10,1,3
ymlsmphanc,10,1,3
kwtquwngwo,10,1,3
wiirptjscp,10,1,3
yhrddpxtvp,10,1,4
ybyhzmpffb,10,1,4
drabrdtmfg,10,1,4
lnhrdheldf,10,1,4
lisqnpqjon,10,1,4
acdivjwjwr,110,0,0
ybmjblzvxy,110,0,2
agodfskstu,110,1,0
wgpxvrrtdl,110,1,1
hiykciiizc,110,1,3
tkwayflluz,111,1,0
plthbtwhjw,115,1,0
oiqfuwerno,115,1,0
gulfvfjnct,115,1,1
nqnaqifsim,116,1,0
hmnncmsgec,116,1,0
fvlvlqenxf,116,1,2
tasrfzzeop,116,1,3
hivifcsdvx,11,0,0
uhndradgqi,11,0,0
abaakfujsz,11,0,0
wwpmxcteme,11,0,0
mnenmmzspl,11,0,0
dajffjypzb,11,0,0
ckkwopfmwb,11,0,0
fzrgmcysmt,11,0,0
jtuxcvynss,11,0,0
tuiajwfvfa,11,0,0
ynmualstjj,11,0,0
knahbknciu,11,0,0
vvgluyfdqr,11,0,0
bljvjghpua,11,0,0
wppcpohlvg,11,0,0
jzjrohxqcr,11,0,0
aaeiuqoawb,11,0,0
sirhbvffmb,11,0,0
sfwcwkvbwf,11,0,0
uvclntedmt,11,0,0
gduhwecdar,11,0,0
lbonnxnyto,11,0,1
htlcemoxcp,11,0,2
gxwtjfvonj,11,0,3
noyonimhqz,11,0,3
ntaauaxftf,11,0,4
mocuyntiei,11,1,0
yjhpxvxreh,11,1,0
ejwlkilvfw,11,1,0
bjbcltiukh,11,1,0
jdsqycrgfy,11,1,0
rvhgckevwl,11,1,0
ipxnzkqgny,11,1,0
bzxauolwaz,11,1,0
frhgufjgzy,11,1,0
lmjsutuess,11,1,0
altoktuiin,11,1,0
kseesuvmha,11,1,0
lieszehpyx,11,1,0
eeipcespal,11,1,0
ylyjsozmhw,11,1,0
ognkmknouo,11,1,0
sncejxrlkd,11,1,0
thikdgqbuo,11,1,0
grsshbnotk,11,1,0
nlaahhfdnw,11,1,0
krtadezmoy,11,1,0
qcmupgmdrg,11,1,0
tmzilnghbu,11,1,0
pulqovghtt,11,1,0
bswwlmrkkh,11,1,0
gvxjyzjprh,11,1,0
aiohgmttyu,11,1,0
owlbkiaqku,11,1,0
efmzbybmnv,11,1,1
reggftsocg,11,1,1
qzpqkigiij,11,1,2
ijhhyuhpog,11,1,3
wkrdypvays,11,1,3
kjzaahozha,11,1,4
yajuvktcug,11,1,4
ygjbhjpaiv,11,1,4
xmfauccuqs,11,1,4
uloufbxpph,11,1,4
fntaljvjft,11,1,4
fwawbbvucd,12,0,0
juvpnnhsbg,12,0,0
wjantlsypa,12,0,0
eoaiffhmmq,12,0,0
iyfibzshuy,12,0,0
sbsegmttmx,12,0,0
zpcrrqcpsc,12,0,0
mzuybbubwo,12,0,0
afgrptjevk,12,0,0
nnrthxqxub,12,0,0
rbvabdtrfj,12,0,0
jbipadqfbx,12,0,0
mhjjzlhejn,12,0,0
mohzbnexex,12,0,0
wmomkftsbr,12,0,0
hsiebalqus,12,0,0
yitduwzmaj,12,0,0
tspxkksejc,12,0,0
yxjwcyeajl,12,0,0
ncungglteo,12,0,0
wjwynjfxhr,12,0,0
xfvfzfkemz,12,0,0
rnbxpclumk,12,0,0
lvynuuejqd,12,0,0
rcrljsnwev,12,0,0
mdhsxttyjs,12,0,1
okenmsktkc,12,0,1
umjixfdnzg,12,0,2
pzikwsexan,12,0,2
qqpzsrwryd,12,0,2
fdmqzrlidi,12,0,2
njjokcvxhf,12,0,3
zgyhzeohjg,12,0,3
stzgtstyhd,12,0,3
cfdvgukvug,12,0,3
okbwietvnc,12,0,3
mcpkpkhcnh,12,0,4
awbjnmnfto,12,0,4
avdtylegri,12,0,4
yemiqgvkad,12,0,4
ufnanhfqjs,12,0,4
ekqxnxbqcn,12,0,4
mjuwgjxuhd,12,0,4
rzjnwhgoda,12,1,0
ydokxtzmvs,12,1,0
nvygszjfbr,12,1,0
jibjfgrwip,12,1,0
vkosdnyohc,12,1,0
gtoryevmlg,12,1,0
ytoztxpvfi,12,1,0
qebzxkdqoh,12,1,0
kjjdofmduz,12,1,0
uaqplzoape,12,1,0
tqdgmftpty,12,1,0
fxakodccii,12,1,0
vttlplnlsv,12,1,0
lqpobnndyb,12,1,0
ajivhkitsg,12,1,0
zbmdgxhlqx,12,1,0
sumwshppla,12,1,0
josgnpiayy,12,1,0
heijnojjev,12,1,0
widoxoxqwe,12,1,0
acwolnlvjg,12,1,0
jclfnlxymk,12,1,0
kblswrtvmm,12,1,0
echlzzmkwd,12,1,0
zjczcpivsd,12,1,0
ybdsdmvhcw,12,1,0
fvxypztiqt,12,1,0
agjrdxsayg,12,1,0
gkrxkklmuf,12,1,0
iwwqhvpkyl,12,1,0
hyfcmfdova,12,1,0
scbmcximkb,12,1,0
jcbikltqpr,12,1,0
egepmkjmon,12,1,0
krtttfhpkt,12,1,0
wcjcmtvret,12,1,0
puzfpekquc,12,1,0
unrmxxmcmk,12,1,0
zmmolcahxp,12,1,0
lceyrksjfa,12,1,0
hfnlnbbtso,12,1,0
sqorlzrptb,12,1,0
wlyzdtddcx,12,1,0
uiajychuvn,12,1,0
afmqsomzmb,12,1,0
xkpwsyxqmf,12,1,0
dcgqhcfsdi,12,1,0
wyaofqydzh,12,1,0
gwdyvhdqmb,12,1,0
mcwkajsrxc,12,1,0
amfsrowxys,12,1,0
fxbfpcgoqr,12,1,0
ruwsxpdtcc,12,1,0
kmtovtxhan,12,1,1
moxjqurbmh,12,1,1
iwpifafjpz,12,1,1
ljtxvygtpt,12,1,1
nzgaggqcpq,12,1,1
ovdqsuejhp,12,1,1
wibdrbdezl,12,1,1
bvslaxtrkz,12,1,2
kmxlzjuggv,12,1,2
hjtbvqoqco,12,1,2
ceggolmngc,12,1,2
ifvputrhzd,12,1,2
shvhewlxqd,12,1,2
laqrbxkcks,12,1,2
jsozmqqvar,12,1,2
ayyqeviekh,12,1,2
tmuamjjqwv,12,1,2
kipvhzodek,12,1,2
gawsvzgrgq,12,1,3
lkjgsseclq,12,1,3
khkpyfggqz,12,1,3
bawqosfvou,12,1,3
nwumrqcbbm,12,1,3
usthhyyrew,12,1,3
otdkjypjij,12,1,3
bfqdftvuok,12,1,3
zyawrcpgvt,12,1,3
nweoqatfjj,12,1,3
ixbaighslj,12,1,4
pqgdvncmrn,12,1,4
njqdvexmdn,12,1,4
zkjwuquddi,12,1,4
xxmqepdgps,12,1,4
enyqbuhtth,12,1,4
hletyjthhg,13,0,0
lsddtzflne,13,0,0
rlfdwntaco,13,0,0
nbfaewsneb,13,0,0
ozojtcvyho,13,0,0
qexfkaowbs,13,0,0
lgftdwgayz,13,0,0
iougjkvwwd,13,0,0
muxqmlgnzp,13,0,0
jonvffbzyk,13,0,0
wykgyfzatg,13,0,0
hrgybortdz,13,0,0
fnqhsoripj,13,0,0
bpdggeshzx,13,0,0
wjcyowdcat,13,0,0
xappyqayoe,13,0,0
sdwebikipw,13,0,0
nmxvzdjeam,13,0,0
ypqossbegh,13,0,0
pbkjdqpkuo,13,0,0
mobkungpqd,13,0,0
vmcaoknmhg,13,0,0
kptmrfdgsh,13,0,0
udlzuhnxdn,13,0,0
tbzeficcjz,13,0,0
zferhmferf,13,0,0
xrkuggtpxd,13,0,0
uwvxtdceyq,13,0,0
atzjmiyxlf,13,0,0
npflwjhnjp,13,0,0
tuvlonotmh,13,0,1
ainsiwiodx,13,0,1
iwonlchjek,13,0,2
ewgxgnjlzr,13,0,2
gkymzrdehp,13,0,2
yezjvciuzw,13,0,3
nibqqzhwca,13,0,3
yjyennbhxp,13,0,4
tlwgbjtqlc,13,1,0
tgvbtrxoya,13,1,0
khmpweygez,13,1,0
mcrzqpzrvt,13,1,0
pxsxxbtvzz,13,1,0
fjryszsfwz,13,1,0
fgojslkzri,13,1,0
xgmbvbcnwn,13,1,0
zlxapwzffx,13,1,0
bzrweigfgi,13,1,0
jnnvoqmqoo,13,1,0
enntlqjjax,13,1,0
onfokbebsy,13,1,0
obybzyucik,13,1,0
monglfigld,13,1,0
bljzbvdwdn,13,1,0
ptkhvuwznd,13,1,0
qotesjbpgb,13,1,0
roxovflifl,13,1,0
syoxqrdzcw,13,1,0
wlddihahkq,13,1,0
rgfklqbmpy,13,1,0
tmrfofqgil,13,1,0
tuzcyhhjxv,13,1,0
jliivvvqum,13,1,0
reuhzujubx,13,1,0
osvdeacdel,13,1,0
dbhdyncawo,13,1,0
nujtbyaoag,13,1,0
xkbxabzcfc,13,1,0
wxctkfrahi,13,1,1
ptjxrppjyt,13,1,1
dyfhubibls,13,1,2
wkzxaebupf,13,1,3
wlwulhdtjx,13,1,3
hrfppkdzty,13,1,3
brdsndsnvb,13,1,4
dxivepodwt,13,1,4
fpzcmpqfow,13,1,4
lbuauefqhb,13,1,4
stflogmepy,13,1,4
gvkujlvzxg,13,1,4
zqxztfowah,13,1,4
kjyfsrmour,14,0,0
kpcozhmuxb,14,0,0
vpstetjlsx,14,0,0
avwzbzzadc,14,0,0
hwjuqoejxi,14,0,0
tmwjxkoofy,14,0,0
alecrmrlxt,14,0,0
sivjipzqoz,14,0,0
dpxkkjtlej,14,0,0
lywtvsufdm,14,0,0
csbqsvfbtt,14,0,0
fimevkjldw,14,0,0
uhdvcqmdqh,14,0,0
zusbxbamsn,14,0,0
gwabxsgftg,14,0,0
ptoktjrhlo,14,0,0
zcuyfvtxgw,14,0,0
qkbflgnvwk,14,0,0
fiytsxhdos,14,0,0
nnotkvfnax,14,0,0
rlcqrloile,14,0,0
nazspknkyy,14,0,0
arnojhkpiy,14,0,0
jqaxrltefh,14,0,0
nvibqbdqol,14,0,0
vxkkekqavs,14,0,0
srgvqelmic,14,0,0
lldbehbwjl,14,0,0
xugfttcljb,14,0,0
uyeuauhikf,14,0,0
xlcuowycah,14,0,0
eppqmdnakw,14,0,0
vxouiwsfpj,14,0,0
bicvzdagqk,14,0,0
ndpyhlnrga,14,0,0
wtawfinxoe,14,0,0
etsvucytlx,14,0,0
acinkfzyhu,14,0,0
zimyywyeht,14,0,0
ylegpefvlf,14,0,0
ylesrpozet,14,0,0
ndzqcfhxyi,14,0,1
wuabfkbbmr,14,0,1
vwnoaabcgn,14,0,1
tlmekbreip,14,0,1
omioysxrcl,14,0,1
bzkraqwnjj,14,0,1
gpwjxibcls,14,0,1
cbwionsaik,14,0,2
sitlshncyf,14,0,2
viejpperpa,14,0,2
nnjberdwcu,14,0,2
necfyzxjjr,14,0,2
xzgzhrcqpy,14,0,2
vcsgwcrizk,14,0,2
rpfqzovryy,14,0,2
frmzxkpdvu,14,0,3
ejgbysoeip,14,0,3
kntcwyjnvy,14,0,3
ogxifgrrta,14,0,3
fjawplbthy,14,0,3
cbfzgefndw,14,0,3
xoimwcwrkm,14,0,3
cskwefsubs,14,0,3
jcxukfchwl,14,0,3
cnurbunhja,14,0,4
znzfnwoghz,14,0,4
sxcunespjm,14,0,4
rsdjghyycz,14,0,4
bthijrjsrz,14,0,4
dwtiqbsidw,14,0,4
snbkmdjzye,14,0,4
uswtrbnsdj,14,0,4
byzpoejxjp,14,0,4
qlhdkxueuz,14,0,4
gnhcutedlt,14,1,0
leixpnhmxe,14,1,0
xqhbwwxpyc,14,1,0
bzhonffzya,14,1,0
hqvnnxjome,14,1,0
esccmicldf,14,1,0
zyzhcfcqof,14,1,0
lhplvjsdyh,14,1,0
jcwvgkcuwm,14,1,0
cwodizcdnb,14,1,0
kmqfaodrsl,14,1,0
vfxbezcnwk,14,1,0
fgtriwwucr,14,1,0
dprguqdspe,14,1,0
kweqabujii,14,1,0
tnqytjxpao,14,1,0
hkmoomifbg,14,1,0
lvagujmhpt,14,1,0
kpqrgrsrnf,14,1,0
xprtqzdldn,14,1,0
tnvqqxxpph,14,1,0
xvghzblplx,14,1,0
kimkhoyvck,14,1,0
cforlanffc,14,1,0
yayfhzpfmm,14,1,0
swqyosdnho,14,1,0
bfjuyxraba,14,1,0
gtszbsnxcb,14,1,0
ifflykmiiv,14,1,0
ndlmygkinu,14,1,0
ubhyjgrfgy,14,1,0
thvanznien,14,1,0
uppajkotmm,14,1,0
icnrpfwfjd,14,1,0
afkvmjiacf,14,1,0
ykhthvvmva,14,1,0
dgtesaddps,14,1,0
vxbwjoowjr,14,1,0
mgyurbeodj,14,1,0
gxdifsqvrv,14,1,0
drbtvewknh,14,1,0
aushcfseql,14,1,0
aykyrwtmaa,14,1,0
tcfcueyvbx,14,1,0
yrvmgbtpox,14,1,0
qrqnjgftuc,14,1,0
ufehbkowxm,14,1,0
qwatnqltxo,14,1,0
fqieiznulk,14,1,0
pviidbqcpe,14,1,0
ixrtxinlxd,14,1,0
windqxmpxt,14,1,0
bwkxdalbiw,14,1,0
dgpmndqslr,14,1,0
qeoxdkhbos,14,1,0
wvzfdqgeai,14,1,0
rjozxrqvag,14,1,1
pubbpqpfrn,14,1,1
rxkqjarvwr,14,1,1
bkoiikswzn,14,1,1
tenvavyykb,14,1,2
jwrpyciuyf,14,1,2
kerpxqkier,14,1,2
dpbtpmccmd,14,1,2
xevzwqsxrk,14,1,2
mdbrahqidy,14,1,2
kqlibddthz,14,1,2
pvqhrydilk,14,1,3
oievqrtnfy,14,1,3
qdmnoackuz,14,1,3
oiqidluoks,14,1,3
qodaksgcay,14,1,3
nxxckcdkrx,14,1,3
nmxufhotbt,14,1,3
bpcfuaonyc,14,1,3
bsuffepanl,14,1,3
uodlzyixhm,14,1,4
iqdiuvnoyv,14,1,4
tajzvltgxe,14,1,4
nygphxntys,14,1,4
ecewjxjusd,14,1,4
gksavjkkin,14,1,4
sxpqessvej,15,0,0
zbbtctnsos,15,0,0
fnbsjpuhzl,15,0,0
iujqbmuwbs,15,0,0
xtdcxruhug,15,0,0
qptufaylmw,15,0,0
uvfopeypjo,15,0,0
sbedhqeevh,15,0,0
fmfgdazpse,15,0,0
hhgywimgxs,15,0,0
hnjncexwpv,15,0,0
jukqreutcc,15,0,0
zbdhiizrdu,15,0,0
foixdpdqrp,15,0,0
fladurxvqm,15,0,0
avssnwkrcd,15,0,0
qolekjvxht,15,0,0
dvmliszxjh,15,0,0
fupxarflfr,15,0,0
xsuynnrhjj,15,0,0
dgvzyvbzbi,15,0,0
woowfkgege,15,0,0
wfvsrxooza,15,0,0
tdnrmhquzk,15,0,0
lccpaqzirs,15,0,0
nwiwyfzuyq,15,0,0
xontoozndy,15,0,0
xirfsmuduu,15,0,0
clxmuufbrx,15,0,0
esrjqyezrw,15,0,0
btysrybfyj,15,0,0
moptcvfkss,15,0,0
gwyfepyout,15,0,0
vduvuvikwj,15,0,0
yqdrsbhonk,15,0,0
cqbzyjpuji,15,0,0
eefbwrwqhb,15,0,0
gxfuhrisvb,15,0,0
bmebqlkshc,15,0,0
hfujjjocta,15,0,0
hniwlfvlwc,15,0,0
isgltastcv,15,0,0
ighiiyomfb,15,0,0
yuolguuhec,15,0,0
giiolwflne,15,0,0
gccalgaoxe,15,0,0
zatmxmiumo,15,0,0
ozsgcxeimu,15,0,0
aozcoxozgl,15,0,0
ulamourziz,15,0,0
ebywnkbzmj,15,0,0
kvgnindxnf,15,0,0
brzgmsowwd,15,0,0
mnpmqewqss,15,0,0
lihkziwgdx,15,0,0
domlbbdmiw,15,0,0
sybfalngxm,15,0,0
ipaoljhsnn,15,0,0
fhnpqcsryl,15,0,1
aaskysnmrm,15,0,1
emxbzadlfu,15,0,1
yibirsiawq,15,0,1
dfmttfjsvj,15,0,1
gsczlnhehg,15,0,1
cvhnzebyks,15,0,1
nduummgzbk,15,0,1
nzhwdkrgij,15,0,2
xkgnyvqlan,15,0,2
xdphqrjhup,15,0,2
xwbosnadik,15,0,2
cbtyzqlkre,15,0,2
ebwgzvugic,15,0,3
yozoandliz,15,0,3
wktbvvurgq,15,0,3
rvphwkdhqx,15,0,3
ggxfxmnawi,15,0,3
djnapdiisa,15,0,3
ttajndbqnm,15,0,3
ahkqymtzno,15,0,4
tflullprjb,15,0,4
icjvgfvogu,15,0,4
zewhslnfrk,15,0,4
dcgreytxfy,15,0,4
snwrgfgwfw,15,1,0
fmrkyolecr,15,1,0
pfuefezmfj,15,1,0
cktztasepa,15,1,0
kcvvsoadvz,15,1,0
xzjdiovyit,15,1,0
iamuwrhrqw,15,1,0
aowycnnclp,15,1,0
vkxmgmkazt,15,1,0
scpvsyzvzy,15,1,0
popexcyrlw,15,1,0
epmnyhesoh,15,1,0
hivruokpjp,15,1,0
tsamumbjjh,15,1,0
xnblgiytuy,15,1,0
lyukmtewgj,15,1,0
plasensdnz,15,1,0
kaysxxpxns,15,1,0
hvgsmwntiy,15,1,0
jrekansmaw,15,1,0
chccyllftk,15,1,0
ryqewozdvt,15,1,0
cfyxvrvlsi,15,1,0
zuavtyfuze,15,1,0
nxjoboijia,15,1,0
wywsqjxnyv,15,1,0
pdgpcwheah,15,1,0
uqxfjvicgn,15,1,0
pcfsoobkoa,15,1,0
libhddzlyc,15,1,0
czvufjlbtd,15,1,0
rwobjthqnv,15,1,0
idtdiauqau,15,1,0
eiukyzgita,15,1,0
oxeszhflob,15,1,0
fndvmkqode,15,1,0
fwaejrabdp,15,1,0
kuholnonmq,15,1,0
hxenwxtwry,15,1,0
jqrsxvsryi,15,1,0
jbhwbascxk,15,1,0
tvbklyydax,15,1,0
utaorwjmqq,15,1,0
vjfqypmjdf,15,1,1
datzunevfz,15,1,1
wsoaotpvut,15,1,1
zpcslwwzyy,15,1,1
cktgtgugmr,15,1,1
irqmqzydwd,15,1,1
uguylvbuem,15,1,1
lkestkroaz,15,1,1
xfurgejqbq,15,1,1
kdvwkeazex,15,1,1
jmxrktwiwq,15,1,1
fydgcdbryu,15,1,1
uelztfzqrt,15,1,1
zsobszxepw,15,1,2
jnqihklpzt,15,1,2
komqvesdyt,15,1,2
ocvzhrqnis,15,1,2
danzxqevdq,15,1,2
srhrhdyzfc,15,1,2
uwrgujlwtk,15,1,2
xqanilbphe,15,1,2
cndklqaist,15,1,2
wugejtwvbp,15,1,3
diknnrrjfl,15,1,3
wnqllrcvio,15,1,3
wdesrskbqm,15,1,3
qdmpafrskh,15,1,3
eifdxblone,15,1,3
qxrcnmfdol,15,1,3
dimwxdlevr,15,1,3
xzzwipywlp,15,1,3
chinzrpuem,15,1,3
bvohjrgezt,15,1,4
pdotmilvxx,15,1,4
elqvamtxtd,15,1,4
gysniwisqo,15,1,4
wztcihoefw,15,1,4
lqyqlnbubh,15,1,4
vhqeyzrbqr,15,1,4
qxvokmvcpa,15,1,4
tkoyrgcwtv,15,1,4
kqmbfkkegv,15,1,4
mumbjvwrwh,15,1,4
eiaqjppqdr,15,1,4
wljrcuiwqe,15,1,4
pohkvqupns,15,1,4
pczrfkbocm,15,1,4
dhufgghufx,15,1,4
nlpevvcnbw,15,1,4
fhkgwtkfeb,15,1,4
sznumtyaos,15,1,4
pwikbihaek,16,0,0
ibuzqavdel,16,0,0
avalitvawe,16,0,0
dejqjimflp,16,0,0
fmabocdgkm,16,0,0
himnlgelum,16,0,0
oxzuuiwdsw,16,0,0
gsqbazexrs,16,0,0
wcnlkbwyls,16,0,0
ifemnrbnuy,16,0,0
blcwcfttca,16,0,0
mfoibfruhx,16,0,0
tghguwimhz,16,0,0
pltsfxjobo,16,0,0
fjxgmvpxeg,16,0,0
wzuitwestf,16,0,0
nzhnswzniw,16,0,0
psavqjhhob,16,0,0
ejftprvvmm,16,0,0
sngvyknfgy,16,0,0
dpccvinnby,16,0,0
dzdaxgbkgq,16,0,0
lmjybcjste,16,0,0
xguioliusl,16,0,0
udhzozbqgv,16,0,0
cdvkxaljsy,16,0,0
mufmtiaugh,16,0,0
gagtizyzae,16,0,0
eqtbjriqal,16,0,0
gdzwougwjq,16,0,0
fnuumfeuvb,16,0,0
xbmscqherp,16,0,0
awrguqptum,16,0,0
gkmrofyobf,16,0,0
leaihxpbeo,16,0,0
znzpkxjmio,16,0,0
cziqtyktxr,16,0,0
zukhqsnyla,16,0,0
xbjklrigcj,16,0,0
ehvklzicca,16,0,0
xgdvszsqcl,16,0,0
ifdogafqlx,16,0,0
bggslfnycg,16,0,0
ufqmayoyjm,16,0,0
elhmnfyfdj,16,0,0
aevlyzcsoh,16,0,0
yjgudlhaia,16,0,0
yvucjkdfxi,16,0,0
znlzbievai,16,0,0
kjiodkvohw,16,0,0
gcxfjdlhew,16,0,0
afvxjkojkd,16,0,0
wtxrqrwuwn,16,0,0
xxgnhqcslz,16,0,0
qbytqlujjt,16,0,0
ynrzasmouy,16,0,0
dpdinluieq,16,0,0
wngqwqnrrc,16,0,0
oaaxgrjpye,16,0,0
dfxjqabobg,16,0,0
papxzqzzlt,16,0,0
tyztoucqpd,16,0,0
weksudxcfr,16,0,0
xlsrapdgqp,16,0,0
timarhdcdb,16,0,0
cecicbwkqi,16,0,0
zdbvmyletm,16,0,0
jvxnikogqf,16,0,0
uhhdrgofal,16,0,0
ecrqanshrq,16,0,0
okxdcpzwdv,16,0,0
ptaoxbpblf,16,0,0
telyqhkglc,16,0,0
enfcwzpucm,16,0,0
tsgwdnwqgu,16,0,0
izbbqqhxgp,16,0,0
fagkbptheg,16,0,0
arvarlfowb,16,0,0
fqxrakalxl,16,0,0
njsvvmndcl,16,0,0
zanhlneuzw,16,0,0
szhadsdobf,16,0,0
xhafjjqshw,16,0,0
wxluvgujfb,16,0,0
gckvnkftvg,16,0,0
kkmmlgajgw,16,0,0
ycxrksipzu,16,0,0
ebxlkdvqjw,16,0,0
vwxtrihefb,16,0,0
nyweyadwds,16,0,0
fxnxubqtwp,16,0,0
vwypsxjwwn,16,0,0
ogkgdezosy,16,0,0
ztvxdinmmi,16,0,0
mtfkkfsgdt,16,0,0
veohbfwezf,16,0,0
yzwgqodjqd,16,0,0
aallmmvghb,16,0,0
ebqoplmecd,16,0,0
ctttmnbmbm,16,0,0
dmstjhvpbt,16,0,0
lgewttcxpn,16,0,0
sqnbthyskb,16,0,0
qqmqnezoml,16,0,0
qdybpknhyx,16,0,0
wjxeagjjtp,16,0,0
nzvnagorqo,16,0,0
iunqfmtckf,16,0,0
rfcsiltycc,16,0,0
laggtoylox,16,0,1
moqkuhxwfw,16,0,1
zrnmsnxkqk,16,0,1
kpvccofyio,16,0,1
aewvnlugmc,16,0,1
gflltbarlf,16,0,1
mpuxtzmips,16,0,1
gonbmjuded,16,0,1
qnknpebric,16,0,1
glwpbheeum,16,0,1
rkmujcgcln,16,0,2
lzlopfkttw,16,0,2
utpkvwrtfk,16,0,3
iwnuaartdx,16,0,3
wsndgdhwke,16,0,3
yctdaozvby,16,0,3
lnbijtjkpq,16,0,4
czbrjqacme,16,0,4
rxrcijenpm,16,0,4
mzemimexsd,16,0,4
rxzlcohksv,16,0,4
